small_letters,capital_letters,spaces,digits,",",.,@,(,),!,-,?,%,&,#,_,=,;,:,/,author
13664,1610,2338,484,52,260,156,12,12,10,164,24,4,6,172,28,2,0,234,528,1
6814,466,1238,200,38,116,132,4,10,76,76,16,2,0,36,12,4,8,34,112,1
51825,3852,10714,1347,141,1440,674,42,45,241,115,208,1,4,55,149,141,3,73,345,1
38924,5388,6710,1994,116,1160,294,58,66,116,400,182,2,6,324,86,10,0,794,1786,1
43478,3596,8777,594,297,1156,714,45,58,203,202,150,3,1,46,107,3,6,237,370,1
58086,4321,9900,1542,394,1718,1059,110,164,224,542,104,15,43,135,66,74,12,529,1586,1
35400,3906,5563,1701,142,877,314,33,33,50,428,98,12,39,183,66,26,6,531,1560,1
66084,13658,13014,1894,210,1390,2145,70,69,168,299,92,1,80,1318,348,5,28,698,1294,1
69281,4505,11751,3322,291,942,1264,148,190,115,1772,56,75,144,89,68,38,42,768,1999,1
5246,364,948,140,20,106,36,6,8,16,38,24,0,0,50,0,2,2,50,130,1
8776,1112,1316,222,26,194,82,0,6,10,138,24,0,18,68,42,24,0,140,320,1
40934,2799,7156,1205,133,618,477,26,36,18,368,70,7,9,356,81,17,7,314,923,1
71652,5141,13948,1042,559,1605,995,33,60,148,263,165,12,18,169,98,6,12,455,1013,1
51498,3976,7952,1350,158,1446,298,22,20,34,506,148,0,14,390,44,42,150,1014,2020,1
60294,6422,12660,2427,318,678,539,20,25,1129,667,79,4,110,492,61,34,7,404,824,1
33232,923,6756,1625,27,4134,106,3,12,13,192,60,10,7,537,30,11,2,229,1084,1
22352,2430,4008,1396,38,944,124,62,64,36,154,12,0,8,286,34,14,2,630,1240,1
67472,9498,11870,1882,102,1660,1486,318,318,60,178,126,12,38,128,260,10,4,1178,2594,1
84648,5967,13165,3854,282,1693,810,91,184,180,1576,203,25,102,495,233,122,77,841,2417,1
56384,5388,11894,864,224,1648,634,24,26,154,82,184,0,36,190,24,0,0,540,756,1
2214,4980,1274,264,22,186,56,32,32,18,2,0,0,0,4,6,0,0,122,276,1
54565,4302,10669,2437,203,1137,704,110,290,5,130,136,0,8,40,59,5,17,593,1353,1
57828,6301,11480,1961,272,1142,690,212,239,474,353,142,6,57,93,51,29,8,739,1858,1
61648,10673,12579,2528,241,2895,382,38,30,776,398,107,10,18,849,111,26,21,865,2144,1
47788,5370,9665,1121,226,1026,593,104,130,372,306,169,4,40,337,69,17,8,242,552,1
9573,915,1744,164,90,191,143,18,20,8,64,34,0,1,12,20,6,0,50,118,1
49184,3660,7862,2608,336,1320,376,136,246,160,888,128,4,46,248,58,56,30,654,1556,1
36956,4766,5246,1546,99,1142,28,101,101,7,109,58,4,0,5,5,0,0,1240,3439,1
7200,514,1032,348,50,164,104,18,18,10,114,24,0,16,26,26,24,0,66,222,1
45186,3744,5096,4602,420,1964,0,132,134,14,2148,8,0,2,6,12,8,0,628,2146,1
84887,5846,16056,2556,740,1499,406,57,102,25,386,229,53,131,663,152,66,69,770,1980,1
78280,4405,15948,928,645,1549,594,95,212,289,532,239,8,9,146,81,12,41,381,713,1
66036,4733,13374,909,507,1018,660,94,125,291,417,183,4,21,23,53,10,5,291,635,1
6144,1238,1000,320,14,216,98,36,40,78,0,6,0,0,0,22,0,0,164,560,1
90617,10246,19149,1849,561,1504,61,10,14,13,244,114,74,174,40,17,1,145,1258,2972,1
67907,9772,11654,1443,151,1740,1686,5,50,428,1082,39,6,18,94,75,22,2,934,3361,1
5600,642,1145,111,27,150,38,1,1,5,50,36,1,2,6,2,4,3,55,156,1
1274,118,208,92,2,28,18,0,0,20,6,10,4,6,26,10,8,2,16,26,1
46188,6115,8263,2094,256,1543,79,106,113,71,237,159,3,12,122,19,10,5,910,2428,1
35450,4509,5991,1145,140,861,177,17,55,58,344,70,7,17,151,44,35,4,636,1615,1
63850,6889,10153,2786,256,2409,35,19,27,60,257,58,5,11,413,64,2,2,1294,3446,1
33425,3466,6615,885,334,809,394,20,22,60,484,194,1,71,241,70,44,4,161,468,1
39888,3198,5954,1206,224,1020,462,26,60,72,590,150,14,86,212,168,138,18,338,974,1
44094,4256,8476,1850,310,882,148,74,82,258,218,94,14,24,704,8,4,18,824,1050,1
19034,3110,3088,898,34,372,354,42,44,18,64,14,0,6,218,42,0,2,362,868,1
28122,1623,5411,672,288,712,363,9,55,179,171,65,3,12,97,68,17,22,184,413,1
56193,7978,9640,4673,432,2040,629,327,334,109,538,40,2,67,214,63,8,0,816,2720,1
71302,5625,14795,1460,290,1750,493,34,70,31,318,141,4,28,396,108,39,8,274,707,1
58716,6841,9924,1891,226,1152,221,30,33,33,479,320,0,28,500,44,32,3,1005,2823,1
50517,2701,6818,2744,156,1338,249,80,86,15,826,132,81,39,46,162,84,5,566,1990,1
59621,4448,12487,1144,378,1420,306,11,9,257,251,223,22,41,72,115,61,1,258,699,1
78795,8162,11484,2585,210,1537,227,7,7,143,1797,143,90,44,685,741,73,4,1104,3218,1
35086,4202,5292,1502,172,864,412,44,44,120,772,26,10,42,276,110,24,2,442,1226,1
59926,5058,13436,1203,341,1286,150,28,29,66,414,161,3,7,255,12,6,0,249,414,1
66816,5421,13769,1743,466,1550,183,209,209,236,316,139,6,96,274,73,17,4,734,1679,1
67853,13810,9621,2936,142,3193,27,24,22,8,1145,107,8,21,3,0,9,11,1118,3820,1
42854,3845,7828,1713,312,1089,458,292,323,108,211,89,3,13,84,39,27,3,785,1462,1
6722,654,1006,210,16,136,62,2,4,12,68,10,0,0,54,0,0,2,124,252,1
40760,3296,5758,2664,234,790,558,52,56,74,660,118,22,26,426,142,48,8,630,1466,1
31986,2158,5028,718,132,1078,14,38,58,162,196,60,2,8,4,56,28,6,402,904,1
58962,6436,10579,1619,224,1623,489,72,93,307,523,115,24,49,234,130,52,22,776,1933,1
64278,6798,10614,1962,338,1310,500,18,24,250,720,210,16,66,906,72,36,12,800,2114,1
69190,6782,13874,1776,258,1446,262,50,74,236,348,302,4,46,280,50,6,32,860,2032,1
11415,1553,2201,720,35,449,2,15,14,12,74,5,1,1,1,9,2,3,207,417,1
21650,1571,4326,259,183,395,169,15,49,190,26,41,2,6,380,42,16,5,112,120,1
66187,4349,13157,2537,583,2457,582,26,51,3,915,152,8,28,65,97,34,7,288,893,1
6201,215,872,269,29,137,12,5,5,4,112,23,2,9,13,18,23,0,135,262,1
81042,7619,14960,1846,352,1477,802,33,83,47,1018,112,17,29,18,114,41,6,802,1320,1
42262,3932,8140,928,192,500,506,36,184,96,170,98,10,4,30,56,4,4,558,824,1
53767,7302,9135,2638,347,1453,481,387,493,252,577,85,1,17,420,103,25,93,1109,2328,1
93478,5006,11709,4379,244,1958,619,58,115,42,1577,129,10,45,237,2471,65,24,1177,3508,1
71819,3905,16224,275,775,2136,102,13,13,123,203,303,2,6,69,11,4,90,379,186,1
64317,4016,13267,998,182,1220,1039,104,148,306,473,273,5,10,83,64,19,23,322,749,1
62634,3294,11875,2369,241,933,351,76,82,115,1032,250,40,88,251,121,69,30,346,1270,1
47780,4590,7384,1733,206,1040,849,37,59,56,949,108,12,67,552,81,27,4,622,1437,1
73420,9162,12836,2076,209,1507,1523,46,119,612,305,147,0,36,1092,120,68,20,1041,1932,1
45036,5293,8845,1226,361,860,824,9,240,863,107,96,0,17,401,111,14,35,316,393,1
17154,2168,2896,868,60,382,190,44,40,14,304,146,0,8,44,62,16,0,252,778,1
32808,1552,4416,2742,234,764,274,32,100,52,458,60,0,22,12,30,18,20,700,1722,1
45398,2824,9133,1010,410,288,949,31,34,538,12,355,1,4,153,122,0,0,31,116,1
77899,8033,16153,1688,622,2030,269,31,44,58,679,92,1,21,1278,48,33,21,381,1035,1
30520,4012,3240,2558,2,436,2278,0,32,314,322,2,0,0,14,358,544,30,158,860,1
8810,604,974,656,22,208,36,0,0,2,290,20,0,8,18,38,18,0,102,476,1
80328,13601,16115,2794,278,3738,30,165,141,49,1166,109,6,53,1248,13,15,16,1888,3497,1
77503,4305,15898,1300,609,1214,1031,78,78,221,376,241,18,77,71,39,41,1,241,696,1
22593,1778,3343,862,47,481,148,11,12,89,303,45,6,6,157,41,25,2,216,775,1
16746,1894,1988,1252,58,510,130,10,12,34,254,50,2,22,120,58,40,0,326,1184,1
69486,3673,12618,1662,245,1035,706,92,107,88,779,230,10,22,228,168,36,16,600,1414,1
62524,2428,13820,644,682,756,862,89,352,94,187,179,9,36,57,96,11,97,361,160,1
70117,5347,14270,1303,546,1106,992,124,129,84,526,200,13,37,1038,120,18,15,347,473,1
25154,2726,3498,1306,142,658,614,164,200,268,136,36,0,8,182,80,2,44,448,1550,1
16792,1512,2500,860,68,460,70,12,16,16,216,30,0,8,92,66,14,4,228,656,1
16236,2644,2860,1472,94,430,2,4,6,18,254,42,0,12,0,8,2,0,356,1070,1
74213,18813,15776,1865,254,3146,3,177,161,1,880,3,0,79,20,0,0,0,2403,3149,1
54426,7324,8535,3001,287,1472,10,9,8,19,614,50,0,14,35,5,1,0,1276,2872,1
70927,4730,12160,2397,361,1316,618,200,254,195,1109,159,94,94,494,152,115,45,575,1333,1
55906,3079,11148,846,75,1126,594,5,65,101,63,50,8,7,14,43,5,8,150,460,1
69934,3022,13454,1490,528,1196,648,254,308,96,484,156,26,26,148,210,58,14,380,912,1
59088,3930,10301,3035,169,1109,393,20,27,105,574,82,8,0,128,11,1113,14,403,1984,1
14034,856,2264,576,50,400,42,8,28,48,224,46,4,14,52,26,36,2,248,440,1
36142,3720,7080,2901,151,1356,628,99,107,110,89,123,2,12,169,41,8,3,417,1381,1
21325,1785,3168,405,38,707,118,1,1,15,631,73,0,3,324,62,29,0,375,719,1
86751,13526,14651,5038,1501,3021,119,167,161,95,682,238,0,153,1,119,257,6,1065,3396,1
46130,4165,7893,2824,295,1371,451,16,25,144,445,119,3,20,30,39,33,4,635,1822,1
78956,4819,13881,1257,566,1130,1434,131,313,577,1160,201,5,69,54,174,37,32,605,1135,1
8906,992,1394,388,70,194,108,52,54,38,58,42,0,4,12,12,16,0,158,422,1
85325,4871,15038,2626,361,1499,706,31,90,224,848,153,21,58,345,159,27,13,659,1587,1
3062,312,418,118,8,64,30,8,10,2,54,4,0,6,2,10,6,2,66,174,1
80772,7194,17405,1609,234,2052,554,79,126,62,400,275,6,26,486,306,38,49,462,582,1
13973,1273,2788,783,513,11,211,49,49,4,0,0,0,0,388,2,0,0,198,16,1
49181,3120,9480,1230,290,1379,816,41,230,62,299,62,5,1,152,119,22,45,397,631,1
61201,4587,10410,983,278,1568,297,8,14,280,515,341,4,25,503,84,58,4,444,1057,1
52304,4892,13809,2137,273,1500,850,91,105,180,371,210,48,65,331,231,88,0,776,1213,1
73677,12385,12394,4453,114,1652,884,68,106,552,1111,201,13,8,116,28,5,2,1767,3120,1
55740,7058,7341,2933,265,1456,188,51,145,144,584,32,0,54,82,116,114,2,1500,3862,1
61596,5146,9174,2716,186,1468,740,110,128,322,644,148,42,50,616,240,136,8,656,2032,1
71379,6640,15286,1009,137,1437,750,43,80,152,249,240,2,97,470,118,52,2,311,747,1
49928,5527,9245,2865,133,777,1424,9,14,54,405,44,9,129,579,458,14,8,701,1112,1
66012,6865,10355,2606,385,1384,312,26,26,32,1548,232,230,79,299,61,80,6,755,1942,1
62641,4385,13163,1192,370,1408,582,33,33,61,197,196,3,22,29,73,39,3,246,484,1
68033,3720,14912,1194,274,1165,737,7,20,68,154,174,8,6,35,188,0,6,98,286,1
63194,6046,12010,878,322,1120,188,64,98,258,352,130,2,20,878,68,10,18,464,1470,1
60464,4668,10294,1778,235,2157,170,50,53,101,96,58,4,9,61,25,1,9,989,3085,1
38264,1933,7631,611,53,564,330,67,139,147,410,64,7,39,68,15,18,29,398,677,1
63253,3295,13631,851,478,1969,418,10,14,624,50,52,2,4,300,210,37,0,77,118,1
3156,401,462,146,9,90,11,2,2,4,40,8,0,4,3,35,7,0,68,160,1
10750,1068,1464,986,26,274,64,4,4,0,184,38,4,30,30,48,62,0,218,500,1
